;destination;origin;product;import;export;label;month;year
0;NL;DE;102;5390656.0;6995356.0;0;1;2010
1;NL;DE;102;3918690.0;6461574.0;0;2;2010
2;NL;DE;102;5410236.0;5233420.0;0;3;2010
3;NL;DE;102;4649854.0;7530263.0;0;4;2010
4;NL;DE;102;3953557.0;5030231.0;0;5;2010
5;NL;DE;102;6225736.0;5200450.0;0;6;2010
6;NL;DE;102;5063002.0;7482277.0;0;7;2010
7;NL;DE;102;4609731.0;5902198.0;0;8;2010
8;NL;DE;102;4930109.0;6070800.0;0;9;2010
9;NL;DE;102;5554982.0;6683234.0;0;10;2010
10;NL;DE;102;7084099.0;7137949.0;0;11;2010
11;NL;DE;102;5674368.0;7425826.0;0;12;2010
12;NL;DE;102;6190505.0;7281929.0;0;1;2011
13;NL;DE;102;4279627.0;6971125.0;0;2;2011
14;NL;DE;102;6837788.0;5981088.0;0;3;2011
15;NL;DE;102;6443444.0;7194519.0;0;4;2011
16;NL;DE;102;6650143.0;6601432.0;0;5;2011
17;NL;DE;102;7114667.0;6867056.0;0;6;2011
18;NL;DE;102;6122862.0;6471947.0;0;7;2011
19;NL;DE;102;6441893.0;6837870.0;0;8;2011
20;NL;DE;102;6501199.0;8120266.0;0;9;2011
21;NL;DE;102;6318044.0;6491138.0;0;10;2011
22;NL;DE;102;7125899.0;7289205.0;0;11;2011
23;NL;DE;102;7342812.0;8101998.0;0;12;2011
24;NL;DE;102;7186870.0;7853640.0;0;1;2012
25;NL;DE;102;6509957.0;6331966.0;0;2;2012
26;NL;DE;102;6529469.0;8619609.0;0;3;2012
27;NL;DE;102;5722530.0;6878990.0;0;4;2012
28;NL;DE;102;9209932.0;8612809.0;0;5;2012
29;NL;DE;102;7187899.0;6242325.0;0;6;2012
30;NL;DE;102;8555441.0;9474376.0;0;7;2012
31;NL;DE;102;7578095.0;7095592.0;0;8;2012
32;NL;DE;102;6700895.0;9311705.0;0;9;2012
33;NL;DE;102;9149503.0;9576619.0;0;10;2012
34;NL;DE;102;6449141.0;7606357.0;0;11;2012
35;NL;DE;102;6633693.0;8273076.0;0;12;2012
36;NL;DE;102;5582744.0;8182272.0;0;1;2013
37;NL;DE;102;5763982.0;6032956.0;0;2;2013
38;NL;DE;102;6783381.0;8654171.0;0;3;2013
39;NL;DE;102;7064372.0;6112531.0;0;4;2013
40;NL;DE;102;6124801.0;6678628.0;0;5;2013
41;NL;DE;102;7279679.0;8770139.0;0;6;2013
42;NL;DE;102;6514480.0;6374333.0;0;7;2013
43;NL;DE;102;6034637.0;6672420.0;0;8;2013
44;NL;DE;102;6169718.0;7846333.0;0;9;2013
45;NL;DE;102;6002206.0;6258450.0;0;10;2013
46;NL;DE;102;6000657.0;7055969.0;0;11;2013
47;NL;DE;102;4737760.0;5881290.0;0;12;2013
48;NL;DE;102;5944728.0;6147042.0;0;1;2014
49;NL;DE;102;6435855.0;7547399.0;0;2;2014
50;NL;DE;102;5535543.0;5710330.0;0;3;2014
51;NL;DE;102;6303580.0;7257508.0;0;4;2014
52;NL;DE;102;5136727.0;6711170.0;0;5;2014
53;NL;DE;102;6809718.0;7980335.0;0;6;2014
54;NL;DE;102;5386554.0;7613942.0;0;7;2014
55;NL;DE;102;3648292.0;4854306.0;0;8;2014
56;NL;DE;102;5165606.0;7370425.0;0;9;2014
57;NL;DE;102;4653291.0;5696267.0;0;10;2014
58;NL;DE;102;3764764.0;5163918.0;0;11;2014
59;NL;DE;102;5661932.0;6001710.0;0;12;2014
60;NL;DE;102;3880661.0;6154018.0;0;1;2015
61;NL;DE;102;3237101.0;5966506.0;0;2;2015
62;NL;DE;102;6100666.0;8976669.0;0;3;2015
63;NL;DE;102;5322708.0;6955032.0;0;4;2015
64;NL;DE;102;6021035.0;10181408.0;0;5;2015
65;NL;DE;102;7891152.0;8129096.0;0;6;2015
66;NL;DE;102;9887697.0;11235320.0;0;7;2015
67;NL;DE;102;6987174.0;8555578.0;0;8;2015
68;NL;DE;102;8788171.0;10776810.0;0;9;2015
69;NL;DE;102;5371168.0;7917716.0;0;10;2015
70;NL;DE;102;6288289.0;8080900.0;0;11;2015
71;NL;DE;102;5548375.0;8679407.0;0;12;2015
72;NL;DE;102;6716971.0;6435424.0;0;1;2016
73;NL;DE;102;9724297.0;5476451.0;0;2;2016
74;NL;DE;102;6751523.0;6871893.0;0;3;2016
75;NL;DE;102;8213133.0;6300879.0;0;4;2016
76;NL;DE;102;8517616.0;8143230.0;0;5;2016
77;NL;DE;102;9642469.0;10080009.0;0;6;2016
78;NL;DE;102;9555145.0;8243447.0;0;7;2016
79;NL;DE;102;10255711.0;8796526.0;0;8;2016
80;NL;DE;102;9513776.0;9772094.0;0;9;2016
81;NL;DE;102;8646260.0;6659989.0;0;10;2016
82;NL;DE;102;9620249.0;7310958.0;0;11;2016
83;NL;DE;102;8363472.0;7357366.0;0;12;2016
84;NL;DE;102;7549013.0;7184216.0;0;1;2017
85;NL;DE;102;6010208.0;5831648.0;0;2;2017
86;NL;DE;102;8070089.0;5635839.0;0;3;2017
87;NL;DE;102;7129461.0;9328502.0;0;4;2017
88;NL;DE;102;10846183.0;9576481.0;0;5;2017
89;NL;DE;102;9087226.0;9018179.0;0;6;2017
90;NL;DE;102;8337606.0;9751852.0;0;7;2017
91;NL;DE;102;11243303.0;10061888.0;0;8;2017
92;NL;DE;102;8561033.0;8767837.0;0;9;2017
93;NL;DE;102;8658152.0;8553962.0;0;10;2017
94;NL;DE;102;8623896.0;8037619.0;0;11;2017
95;NL;DE;102;7409528.0;7499976.0;0;12;2017
96;NL;DE;102;7493712.0;6711912.0;0;1;2018
97;NL;DE;102;6305742.0;7284130.0;0;2;2018
98;NL;DE;102;7786962.0;5813340.0;0;3;2018
99;NL;DE;102;7624601.0;7644342.0;0;4;2018
100;NL;DE;102;10782424.0;9054249.0;0;5;2018
101;NL;DE;102;11259106.0;8291301.0;0;6;2018
102;NL;DE;102;10438222.0;11191516.0;0;7;2018
103;NL;DE;102;8397631.0;11354646.0;0;8;2018
104;NL;DE;102;7421421.0;6037677.0;0;9;2018
105;NL;DE;102;10107849.0;9589895.0;0;10;2018
106;NL;DE;102;10251853.0;7744212.0;0;11;2018
107;NL;DE;102;7843847.0;8233036.0;0;12;2018
108;NL;DE;102;10135835.0;8838015.0;0;1;2019
109;NL;DE;102;8604411.0;9897234.0;0;2;2019
110;NL;DE;102;9489228.0;8041085.0;0;3;2019
111;NL;DE;102;11276852.0;8818398.0;0;4;2019
112;NL;DE;102;12329943.0;9095494.0;0;5;2019
113;NL;DE;102;12759113.0;14559909.0;0;6;2019
114;NL;DE;102;12614407.0;8483447.0;0;7;2019
115;NL;DE;102;9567571.0;9914692.0;0;8;2019
116;NL;DE;102;10632859.0;12183024.0;0;9;2019
117;NL;DE;102;9238622.0;10075379.0;0;10;2019
118;NL;DE;102;8011748.0;9108875.0;0;11;2019
119;NL;DE;102;8995958.0;12836358.0;0;12;2019
120;NL;DE;102;12009699.0;7728255.0;0;1;2020
121;NL;DE;102;13645164.0;15515971.0;0;2;2020
122;NL;DE;102;12241376.0;10355653.0;0;3;2020
123;NL;DE;102;8332513.0;6018224.0;0;4;2020
124;NL;DE;102;5735868.0;5739905.0;0;5;2020
125;NL;DE;102;9185505.0;9239225.0;0;6;2020
126;NL;DE;102;8766492.0;6304576.0;0;7;2020
127;NL;DE;102;8216565.0;9696728.0;0;8;2020
128;NL;DE;102;11197715.0;8831086.0;0;9;2020
129;NL;DE;102;12382113.0;10740152.0;0;10;2020
130;NL;DE;102;9228904.0;5454904.0;0;11;2020
131;NL;DE;102;10526435.0;7709720.0;0;12;2020
132;NL;DE;406;18411973.0;23856784.0;0;1;2010
133;NL;DE;406;19414353.0;32306567.0;0;2;2010
134;NL;DE;406;24073980.0;26072918.0;0;3;2010
135;NL;DE;406;24706757.0;29521573.0;0;4;2010
136;NL;DE;406;25515826.0;28024020.0;0;5;2010
137;NL;DE;406;24912543.0;26651413.0;0;6;2010
138;NL;DE;406;26050112.0;24616889.0;0;7;2010
139;NL;DE;406;22921625.0;23414516.0;0;8;2010
140;NL;DE;406;26083807.0;27740717.0;0;9;2010
141;NL;DE;406;22885008.0;26624884.0;0;10;2010
142;NL;DE;406;28567196.0;26172496.0;0;11;2010
143;NL;DE;406;20817025.0;25144902.0;0;12;2010
144;NL;DE;406;22745308.0;25665489.0;0;1;2011
145;NL;DE;406;26051323.0;31568615.0;0;2;2011
146;NL;DE;406;27835340.0;30584823.0;0;3;2011
147;NL;DE;406;25394792.0;28487479.0;0;4;2011
148;NL;DE;406;25490329.0;27589495.0;0;5;2011
149;NL;DE;406;21246411.0;26939578.0;0;6;2011
150;NL;DE;406;21030255.0;25600753.0;0;7;2011
151;NL;DE;406;23076399.0;23430656.0;0;8;2011
152;NL;DE;406;24164509.0;34038504.0;0;9;2011
153;NL;DE;406;24842813.0;26676850.0;0;10;2011
154;NL;DE;406;27860866.0;31333435.0;0;11;2011
155;NL;DE;406;26956609.0;28979356.0;0;12;2011
156;NL;DE;406;23425193.0;28224390.0;0;1;2012
157;NL;DE;406;24269276.0;30313359.0;0;2;2012
158;NL;DE;406;25196414.0;31448323.0;0;3;2012
159;NL;DE;406;22104391.0;26989267.0;0;4;2012
160;NL;DE;406;24682419.0;32525601.0;0;5;2012
161;NL;DE;406;22969960.0;29943207.0;0;6;2012
162;NL;DE;406;26498552.0;31898041.0;0;7;2012
163;NL;DE;406;26433730.0;31876132.0;0;8;2012
164;NL;DE;406;26048975.0;29978011.0;0;9;2012
165;NL;DE;406;26245242.0;32980874.0;0;10;2012
166;NL;DE;406;29257940.0;31165964.0;0;11;2012
167;NL;DE;406;23459797.0;29905057.0;0;12;2012
168;NL;DE;406;23222907.0;37765861.0;0;1;2013
169;NL;DE;406;27576817.0;31329209.0;0;2;2013
170;NL;DE;406;36433179.0;35692908.0;0;3;2013
171;NL;DE;406;29008043.0;35445403.0;0;4;2013
172;NL;DE;406;34440450.0;39925210.0;0;5;2013
173;NL;DE;406;28729967.0;34619807.0;0;6;2013
174;NL;DE;406;36780517.0;39456125.0;0;7;2013
175;NL;DE;406;25598910.0;36762485.0;0;8;2013
176;NL;DE;406;27285096.0;38761838.0;0;9;2013
177;NL;DE;406;29116728.0;41480309.0;0;10;2013
178;NL;DE;406;27078078.0;35952827.0;0;11;2013
179;NL;DE;406;30691657.0;37964239.0;0;12;2013
180;NL;DE;406;33258329.0;40800057.0;0;1;2014
181;NL;DE;406;28900603.0;34606132.0;0;2;2014
182;NL;DE;406;38045033.0;40276662.0;0;3;2014
183;NL;DE;406;34939819.0;41438579.0;0;4;2014
184;NL;DE;406;31091019.0;33394104.0;0;5;2014
